<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER [TQBR],1,20161205,125500,160.990000,160.990000,160.880000,160.980000,3732.000000
SBER [TQBR],1,20161205,125600,160.920000,160.990000,160.910000,160.910000,1586.000000
SBER [TQBR],1,20161205,125700,160.950000,160.950000,160.850000,160.850000,2110.000000
SBER [TQBR],1,20161205,125800,160.900000,160.910000,160.860000,160.860000,331.000000
SBER [TQBR],1,20161205,125900,160.880000,160.950000,160.840000,160.840000,2193.000000
SBER [TQBR],1,20161205,130000,160.880000,160.880000,160.780000,160.790000,1586.000000
SBER [TQBR],1,20161205,130100,160.810000,160.810000,160.760000,160.770000,1831.000000
SBER [TQBR],1,20161205,130200,160.770000,160.790000,160.720000,160.740000,2446.000000
SBER [TQBR],1,20161205,130300,160.730000,160.770000,160.670000,160.760000,4034.000000
SBER [TQBR],1,20161205,130400,160.690000,160.690000,160.650000,160.670000,581.000000
SBER [TQBR],1,20161205,130500,160.660000,160.670000,160.600000,160.670000,1970.000000
SBER [TQBR],1,20161205,130600,160.660000,160.670000,160.630000,160.670000,698.000000
SBER [TQBR],1,20161205,130700,160.670000,160.800000,160.630000,160.790000,9102.000000
SBER [TQBR],1,20161205,130800,160.770000,160.870000,160.710000,160.830000,2088.000000
SBER [TQBR],1,20161205,130900,160.830000,160.870000,160.830000,160.860000,382.000000
SBER [TQBR],1,20161205,131000,160.860000,160.880000,160.830000,160.830000,1315.000000
SBER [TQBR],1,20161205,131100,160.830000,160.890000,160.710000,160.890000,6821.000000
SBER [TQBR],1,20161205,131200,160.900000,160.910000,160.790000,160.860000,706.000000
SBER [TQBR],1,20161205,131300,160.810000,160.980000,160.810000,160.980000,4912.000000
SBER [TQBR],1,20161205,131400,160.970000,161.000000,160.950000,161.000000,10901.000000
SBER [TQBR],1,20161205,131500,160.990000,161.000000,160.950000,160.950000,1102.000000
SBER [TQBR],1,20161205,131600,160.950000,160.960000,160.870000,160.890000,2837.000000
SBER [TQBR],1,20161205,131700,160.870000,160.890000,160.720000,160.730000,2873.000000
SBER [TQBR],1,20161205,131800,160.720000,160.770000,160.720000,160.740000,326.000000
SBER [TQBR],1,20161205,131900,160.740000,160.790000,160.740000,160.760000,462.000000
SBER [TQBR],1,20161205,132000,160.750000,160.780000,160.700000,160.730000,11626.000000
SBER [TQBR],1,20161205,132100,160.710000,160.840000,160.700000,160.830000,1168.000000
SBER [TQBR],1,20161205,132200,160.790000,160.850000,160.710000,160.850000,2960.000000
SBER [TQBR],1,20161205,132300,160.810000,160.850000,160.730000,160.790000,650.000000
SBER [TQBR],1,20161205,132400,160.730000,160.850000,160.730000,160.850000,496.000000
SBER [TQBR],1,20161205,132500,160.800000,160.840000,160.730000,160.780000,626.000000
SBER [TQBR],1,20161205,132600,160.740000,160.830000,160.740000,160.830000,1367.000000
SBER [TQBR],1,20161205,132700,160.790000,160.820000,160.750000,160.790000,304.000000
SBER [TQBR],1,20161205,132800,160.720000,160.850000,160.720000,160.850000,1702.000000
SBER [TQBR],1,20161205,132900,160.810000,160.850000,160.810000,160.850000,594.000000
SBER [TQBR],1,20161205,133000,160.850000,160.850000,160.810000,160.830000,372.000000
SBER [TQBR],1,20161205,133100,160.800000,160.840000,160.790000,160.830000,392.000000
SBER [TQBR],1,20161205,133200,160.780000,160.780000,160.590000,160.620000,1866.000000
SBER [TQBR],1,20161205,133300,160.590000,160.740000,160.590000,160.690000,4663.000000
SBER [TQBR],1,20161205,133400,160.640000,160.690000,160.600000,160.690000,2956.000000
SBER [TQBR],1,20161205,133500,160.660000,160.700000,160.650000,160.690000,1073.000000
SBER [TQBR],1,20161205,133600,160.670000,160.680000,160.520000,160.520000,7315.000000
SBER [TQBR],1,20161205,133700,160.590000,160.640000,160.590000,160.630000,1113.000000
SBER [TQBR],1,20161205,133800,160.630000,160.750000,160.630000,160.750000,2063.000000
SBER [TQBR],1,20161205,133900,160.730000,160.760000,160.710000,160.740000,357.000000
SBER [TQBR],1,20161205,134000,160.740000,160.800000,160.710000,160.770000,706.000000
SBER [TQBR],1,20161205,134100,160.770000,160.830000,160.760000,160.790000,666.000000
SBER [TQBR],1,20161205,134200,160.790000,160.830000,160.750000,160.830000,361.000000
