<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER [TQBR],5,20161101,160500,146.600000,146.720000,146.550000,146.550000,20128.000000
SBER [TQBR],5,20161101,161000,146.600000,146.730000,146.580000,146.670000,19918.000000
SBER [TQBR],5,20161101,161500,146.720000,146.910000,146.670000,146.810000,61749.000000
SBER [TQBR],5,20161101,162000,146.850000,146.860000,146.720000,146.780000,40478.000000
SBER [TQBR],5,20161101,162500,146.800000,146.800000,146.700000,146.750000,8694.000000
SBER [TQBR],5,20161101,163000,146.750000,146.780000,146.700000,146.770000,15445.000000
SBER [TQBR],5,20161101,163500,146.730000,146.800000,146.710000,146.760000,13663.000000
SBER [TQBR],5,20161101,164000,146.760000,146.850000,146.700000,146.760000,35719.000000
SBER [TQBR],5,20161101,164500,146.790000,146.810000,146.620000,146.650000,18234.000000
SBER [TQBR],5,20161101,165000,146.680000,146.690000,146.460000,146.460000,54926.000000
SBER [TQBR],5,20161101,165500,146.480000,146.500000,146.450000,146.500000,62228.000000
SBER [TQBR],5,20161101,170000,146.480000,146.500000,146.250000,146.260000,66049.000000
SBER [TQBR],5,20161101,170500,146.260000,146.560000,146.250000,146.550000,37654.000000
SBER [TQBR],5,20161101,171000,146.560000,146.680000,146.500000,146.520000,26717.000000
SBER [TQBR],5,20161101,171500,146.520000,146.610000,146.450000,146.480000,10236.000000
SBER [TQBR],5,20161101,172000,146.500000,146.620000,146.400000,146.600000,71777.000000
SBER [TQBR],5,20161101,172500,146.600000,146.650000,146.520000,146.570000,46147.000000
SBER [TQBR],5,20161101,173000,146.570000,146.600000,146.450000,146.530000,62201.000000
SBER [TQBR],5,20161101,173500,146.540000,146.550000,146.440000,146.450000,10708.000000
SBER [TQBR],5,20161101,174000,146.460000,146.500000,146.380000,146.380000,26736.000000
SBER [TQBR],5,20161101,174500,146.410000,146.410000,146.250000,146.300000,43683.000000
SBER [TQBR],5,20161101,175000,146.300000,146.320000,145.990000,145.990000,190417.000000
SBER [TQBR],5,20161101,175500,146.050000,146.150000,145.970000,146.060000,21968.000000
SBER [TQBR],5,20161101,180000,146.090000,146.270000,146.050000,146.100000,24192.000000
SBER [TQBR],5,20161101,180500,146.090000,146.100000,145.900000,145.960000,74828.000000
SBER [TQBR],5,20161101,181000,146.000000,146.220000,145.960000,146.070000,28280.000000
SBER [TQBR],5,20161101,181500,146.100000,146.220000,146.000000,146.000000,30734.000000
SBER [TQBR],5,20161101,182000,146.000000,146.070000,145.930000,145.930000,29941.000000
SBER [TQBR],5,20161101,182500,145.930000,145.950000,145.850000,145.860000,45077.000000
SBER [TQBR],5,20161101,183000,145.860000,145.990000,145.710000,145.900000,67373.000000
SBER [TQBR],5,20161101,183500,145.990000,146.000000,145.810000,145.880000,53257.000000
SBER [TQBR],5,20161101,184500,145.850000,145.850000,145.850000,145.850000,49449.000000
SBER [TQBR],5,20161102,095500,144.510000,144.510000,144.510000,144.510000,11010.000000
SBER [TQBR],5,20161102,100000,144.660000,145.000000,144.500000,144.880000,130785.000000
SBER [TQBR],5,20161102,100500,144.850000,145.310000,144.820000,145.140000,77254.000000
SBER [TQBR],5,20161102,101000,145.130000,145.200000,145.100000,145.200000,29752.000000
SBER [TQBR],5,20161102,101500,145.170000,145.380000,145.170000,145.320000,34866.000000
SBER [TQBR],5,20161102,102000,145.320000,145.340000,144.900000,144.970000,58904.000000
SBER [TQBR],5,20161102,102500,144.940000,145.090000,144.880000,145.040000,23939.000000
SBER [TQBR],5,20161102,103000,145.060000,145.230000,145.000000,145.040000,50510.000000
SBER [TQBR],5,20161102,103500,145.050000,145.100000,145.010000,145.090000,10325.000000
SBER [TQBR],5,20161102,104000,145.090000,145.210000,145.040000,145.160000,18829.000000
SBER [TQBR],5,20161102,104500,145.210000,145.360000,145.180000,145.300000,23109.000000
SBER [TQBR],5,20161102,105000,145.350000,145.560000,145.250000,145.530000,28911.000000
SBER [TQBR],5,20161102,105500,145.530000,145.630000,145.450000,145.540000,29803.000000
SBER [TQBR],5,20161102,110000,145.570000,145.640000,145.380000,145.400000,39928.000000
SBER [TQBR],5,20161102,110500,145.460000,145.510000,144.620000,144.620000,152858.000000
SBER [TQBR],5,20161102,111000,144.620000,144.760000,144.120000,144.190000,236435.000000
